channel,success_ratio,protocol,seed,class,jitter_ms_mean
lossy,0.85,AER_MQOS,20260504,1,5400.025
lossy,0.85,AER_MQOS,20260504,2,5419.312
lossy,0.85,AER_MQOS,20260504,3,4655.644
lossy,0.85,RPL_STANDARD,20260505,0,9362.511
lossy,0.85,RPL_STANDARD,20260505,1,6161.028
lossy,0.85,RPL_STANDARD,20260505,2,4864.042
lossy,0.85,RPL_STANDARD,20260505,3,4744.304
lossy,0.85,RPL_MQOS,20260505,0,10254.339
lossy,0.85,RPL_MQOS,20260505,1,6528.694
lossy,0.85,RPL_MQOS,20260505,2,5337.398
lossy,0.85,RPL_MQOS,20260505,3,5071.451
lossy,0.85,RPL_AER,20260505,0,10016.012
lossy,0.85,RPL_AER,20260505,1,6529.067
lossy,0.85,RPL_AER,20260505,2,5369.917
lossy,0.85,RPL_AER,20260505,3,5086.265
lossy,0.85,AER_MQOS,20260505,0,9413.525
lossy,0.85,AER_MQOS,20260505,1,6182.735
lossy,0.85,AER_MQOS,20260505,2,4864.23
lossy,0.85,AER_MQOS,20260505,3,4757.469
lossy,0.85,RPL_STANDARD,20260506,0,7031.535
lossy,0.85,RPL_STANDARD,20260506,1,5950.99
lossy,0.85,RPL_STANDARD,20260506,2,4889.167
lossy,0.85,RPL_STANDARD,20260506,3,4038.531
lossy,0.85,RPL_MQOS,20260506,0,6918.59
lossy,0.85,RPL_MQOS,20260506,1,5851.933
lossy,0.85,RPL_MQOS,20260506,2,4771.364
lossy,0.85,RPL_MQOS,20260506,3,4047.541
lossy,0.85,RPL_AER,20260506,0,6863.108
lossy,0.85,RPL_AER,20260506,1,5813.439
lossy,0.85,RPL_AER,20260506,2,4682.493
lossy,0.85,RPL_AER,20260506,3,4029.4
lossy,0.85,AER_MQOS,20260506,0,6864.211
lossy,0.85,AER_MQOS,20260506,1,5833.157
lossy,0.85,AER_MQOS,20260506,2,4695.024
lossy,0.85,AER_MQOS,20260506,3,4029.146
lossy,0.85,RPL_STANDARD,20260507,0,8658.91
lossy,0.85,RPL_STANDARD,20260507,1,6385.584
lossy,0.85,RPL_STANDARD,20260507,2,5720.104
lossy,0.85,RPL_STANDARD,20260507,3,5691.148
lossy,0.85,RPL_MQOS,20260507,0,8658.005
lossy,0.85,RPL_MQOS,20260507,1,6385.044
lossy,0.85,RPL_MQOS,20260507,2,5720.075
lossy,0.85,RPL_MQOS,20260507,3,5690.71
lossy,0.85,RPL_AER,20260507,0,8658.668
lossy,0.85,RPL_AER,20260507,1,6384.894
lossy,0.85,RPL_AER,20260507,2,5720.583
lossy,0.85,RPL_AER,20260507,3,5691.09
lossy,0.85,AER_MQOS,20260507,0,8881.16
lossy,0.85,AER_MQOS,20260507,1,6455.465
lossy,0.85,AER_MQOS,20260507,2,5813.47
lossy,0.85,AER_MQOS,20260507,3,5690.961
lossy,0.85,RPL_STANDARD,20260508,0,14721.846
lossy,0.85,RPL_STANDARD,20260508,1,12767.635
lossy,0.85,RPL_STANDARD,20260508,2,9097.114
lossy,0.85,RPL_STANDARD,20260508,3,6346.701
lossy,0.85,RPL_MQOS,20260508,0,14721.778
lossy,0.85,RPL_MQOS,20260508,1,12767.869
lossy,0.85,RPL_MQOS,20260508,2,9097.155
lossy,0.85,RPL_MQOS,20260508,3,6369.505
lossy,0.85,RPL_AER,20260508,0,14721.607
lossy,0.85,RPL_AER,20260508,1,12767.818
lossy,0.85,RPL_AER,20260508,2,9097.114
lossy,0.85,RPL_AER,20260508,3,6369.318
